430,Kafka on the Shore,2
763,The Bluest Eye,-1
699,Twenty Thousand Leagues Under the Sea,-2
448,The Purpose Driven Life: What on Earth Am I Here for?,-1
286,The Lucky One,-1
422,"Harry Potter Boxset (Harry Potter, #1-7)",-1
543,"Last Sacrifice (Vampire Academy, #6)",11
741,The Girls' Guide to Hunting and Fishing,-1
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",-1
48,Fahrenheit 451,2
339,Goodnight Moon,0
80,The Little Prince,0
291,Cutting for Stone,-1
300,The Boy in the Striped Pajamas,-1
65,Slaughterhouse-Five,-1
74,Looking for Alaska,-1
84,"Jurassic Park (Jurassic Park, #1)",-1
79,The Odyssey,-1
55,Brave New World,-1
90,The Outsiders,0
70,"Ender's Game (Ender's Saga, #1)",-1
150,The Red Tent,0
176,It,-1
369,"Stargirl (Stargirl, #1)",-1
76,Sense and Sensibility,-1
160,Great Expectations,-1
174,The Shack,-1
389,"The Final Empire (Mistborn, #1)",-1
64,My Sister's Keeper,0
148,Girl with a Pearl Earring,-1
